,地区,新增,累计,治愈
0,美国,133522,27519636,17268517
1,印度,10357,10827314,10522601
2,巴西,51319,9497795,8363677
3,俄罗斯,16627,3967281,3456210
4,英国,20634,3929835,10182
5,法国,22139,3317333,232693
6,西班牙,28565,2971914,196958
7,意大利,14213,2625098,2107061
8,土耳其,15798,2524786,2412505
9,德国,10538,2284999,2029200
10,哥伦比亚,7248,2151207,2022331
11,阿根廷,8374,1976689,1772059
12,墨西哥,13051,1926080,1482138
13,波兰,5966,1545530,1301571
14,南非,3749,1473700,1340497
15,伊朗,6990,1459370,1247374
16,乌克兰,4310,1244849,1073046
17,秘鲁,7993,1180478,1089040
18,印度尼西亚,12156,1147010,939184
19,捷克,8635,1034975,919699
20,荷兰,4075,1001826,13286
21,加拿大,5410,801057,734644
22,葡萄牙,6132,761906,599593
23,智利,0,748082,706020
24,罗马尼亚,2611,743343,689474
25,比利时,2585,723870,49737
26,以色列,0,686774,610104
27,伊拉克,1660,627416,599167
28,瑞典,0,588062,4971
29,巴基斯坦,1286,554474,510242
30,孟加拉国,305,537770,482841
31,菲律宾,1934,537310,499798
32,瑞士,0,531873,317600
33,摩洛哥,712,474966,453921
34,奥地利,1333,422522,400851
35,塞尔维亚,3652,406352,31536
36,日本,2277,403938,358872
37,匈牙利,1561,376495,279763
38,沙特阿拉伯,386,369961,361237
39,约旦,865,333855,319490
40,巴拿马,998,326464,290124
41,阿拉伯联合酋长国,3276,323402,301081
42,黎巴嫩,3071,317836,201137
43,尼泊尔,99,271806,267812
44,格鲁吉亚,602,262024,253614
45,斯洛伐克,2241,261774,238221
46,厄瓜多尔,2073,257115,209814
47,白俄罗斯,1787,256959,244941
48,马来西亚,3847,238721,186970
49,克罗地亚,424,235126,227078
50,阿塞拜疆,115,231022,224961
51,玻利维亚,1676,227128,167354
52,保加利亚,910,223552,193191
53,多米尼加,1722,222148,165659
54,突尼斯,1163,216176,172885
55,爱尔兰,1019,202548,23364
56,丹麦413,201186,192104,2215
57,哥斯达黎加,446,196438,156181
58,哈萨克斯坦,1141,193966,174880
59,立陶宛,677,186278,138013
60,斯洛文尼亚,902,173201,153791
61,科威特,940,170036,161093
62,埃及,540,169106,132054
63,亚美尼亚,211,168088,159720
64,摩尔多瓦,843,164243,153196
65,希腊,1106,163213,146461
66,危地马拉,630,162937,148917
67,巴勒斯坦,470,162029,152120
68,洪都拉斯,1028,153905,61785
69,卡塔尔,394,153690,146759
70,埃塞俄比亚,726,141453,125531
71,缅甸,200,141304,127229
72,尼日利亚,1624,139242,112557
73,巴拉圭,867,137603,113366
74,阿曼,0,135041,127266
75,委内瑞拉,456,129643,121569
76,波黑,606,123434,97128
77,利比亚,0,122894,103312
78,阿尔及利亚,248,108629,74330
79,巴林,702,106713,100772
80,肯尼亚,156,101690,84302
81,北马其顿,403,94599,83735
82,吉尔吉斯斯坦,72,85071,81635
83,阿尔巴尼亚,1089,84212,50875
84,韩国,393,80896,70865
85,乌兹别克斯坦,56,79098,77522
86,拉脱维亚,1044,71320,59399
87,加纳,791,70046,63502
88,斯里兰卡,742,68576,62594
89,黑山,571,64739,56228
90,挪威,373,64653,57004
91,赞比亚,1000,61427,53410
92,新加坡,26,59675,59405
93,萨尔瓦多,212,56237,50431
94,阿富汗,5,55335,48027
95,卢森堡,182,51689,48421
96,爱沙尼亚,587,47512,37648
97,芬兰,368,47262,31000
98,乌拉圭,499,44812,38469
99,莫桑比克,0,44112,26790
100,乌干达,0,39821,14349
101,纳米比亚,0,34844,33359
102,津巴布韦,160,34487,28383
103,古巴,821,32011,26039
104,塞浦路斯,133,31644,2057
105,喀麦隆,0,31394,29501
106,科特迪瓦,193,29567,27773
107,澳大利亚,6,28850,26086
108,塞内加尔,383,28489,23292
109,苏丹,0,27500,21794
110,马拉维,476,26875,11348
111,博茨瓦纳,0,23503,19574
112,刚果（金）,149,23485,15107
113,泰国,490,23371,16942
114,安哥拉,34,20062,18475
115,马达加斯加,0,19065,18215
116,马耳他,134,18576,15896
117,法属波利尼西亚,20,18185,4842
118,牙买加,591,16841,12225
119,毛里塔尼亚,37,16792,15985
120,马尔代夫,137,16656,14556
121,卢旺达,198,16337,12047
122,法属圭亚那,32,16296,9995
123,斯威士兰,92,16181,11469
124,几内亚,36,14665,14320
125,叙利亚,71,14408,8053
126,佛得角,16,14380,13684
127,塔吉克斯坦,0,13308,13218
128,伯利兹,5,12037,11479
129,海地,66,11806,9156
130,加蓬,328,11457,10797
131,布基纳法索,90,11227,10040
132,留尼汪岛,177,10507,9769
133,安道尔,35,10206,9492
134,马约特,0,9546,2964
135,莱索托,164,9380,2706
136,瓜德罗普,0,9226,2242
137,苏里南,24,8650,7974
138,巴哈马,9,8256,6819
139,马里,15,8160,6054
140,刚果（布）,0,8060,5846
141,圭亚那合作共和国,107,7939,6962
142,特立尼达和多巴哥,0,7612,7255
143,阿鲁巴,34,7202,6796
144,马提尼克,0,6484,98
145,尼加拉瓜,0,6299,4225
146,冰岛,0,6021,5959
147,吉布提,0,5941,5852
148,赤道几内亚,0,5578,5358
149,多哥,66,5436,4535
150,中非共和国,0,4989,4885
151,索马里,0,4854,3720
152,库拉索,3,4605,4530
153,尼日尔,14,4598,3950
