地区,新增,累计,治愈,死亡
美国,133522,27519636,17268517,473528
印度,10357,10827314,10522601,155032
巴西,51319,9497795,8363677,231069
俄罗斯,16627,3967281,3456210,76661
英国,20634,3929835,10182,112092
法国,22139,3317333,232693,78794
西班牙,28565,2971914,196958,61386
意大利,14213,2625098,2107061,91003
土耳其,15798,2524786,2412505,26685
德国,10538,2284999,2029200,61998
哥伦比亚,7248,2151207,2022331,55693
阿根廷,8374,1976689,1772059,49110
墨西哥,13051,1926080,1482138,165786
波兰,5966,1545530,1301571,38994
南非,3749,1473700,1340497,46180
伊朗,6990,1459370,1247374,58412
乌克兰,4310,1244849,1073046,23597
秘鲁,7993,1180478,1089040,42121
印度尼西亚,12156,1147010,939184,31393
捷克,8635,1034975,919699,17235
荷兰,4075,1001826,13286,14355
加拿大,5410,801057,734644,20702
葡萄牙,6132,761906,599593,13954
智利,0,748082,706020,18895
罗马尼亚,2611,743343,689474,18809
比利时,2585,723870,49737,21352
以色列,0,686774,610104,5074
伊拉克,1660,627416,599167,13111
瑞典,0,588062,4971,12115
巴基斯坦,1286,554474,510242,11967
孟加拉国,305,537770,482841,8190
菲律宾,1934,537310,499798,11179
瑞士,0,531873,317600,9606
摩洛哥,712,474966,453921,8381
奥地利,1333,422522,400851,7994
塞尔维亚,3652,406352,31536,4112
日本,2277,403938,358872,6376
匈牙利,1561,376495,279763,13090
沙特阿拉伯,386,369961,361237,6397
约旦,865,333855,319490,4369
巴拿马,998,326464,290124,5455
阿拉伯联合酋长国,3276,323402,301081,914
黎巴嫩,3071,317836,201137,3562
尼泊尔,99,271806,267812,2035
格鲁吉亚,602,262024,253614,3283
斯洛伐克,2241,261774,238221,5135
厄瓜多尔,2073,257115,209814,15004
白俄罗斯,1787,256959,244941,1773
马来西亚,3847,238721,186970,857
克罗地亚,424,235126,227078,5144
阿塞拜疆,115,231022,224961,3156
玻利维亚,1676,227128,167354,10753
保加利亚,910,223552,193191,9311
多米尼加,1722,222148,165659,2801
突尼斯,1163,216176,172885,7162
爱尔兰,1019,202548,23364,3674
丹麦413,201186,192104,2215
哥斯达黎加,446,196438,156181,2672
哈萨克斯坦,1141,193966,174880,2540
立陶宛,677,186278,138013,2927
斯洛文尼亚,902,173201,153791,3612
科威特,940,170036,161093,964
埃及,540,169106,132054,9604
亚美尼亚,211,168088,159720,3117
摩尔多瓦,843,164243,153196,3530
希腊,1106,163213,146461,5951
危地马拉,630,162937,148917,5854
巴勒斯坦,470,162029,152120,1870
洪都拉斯,1028,153905,61785,3710
卡塔尔,394,153690,146759,250
埃塞俄比亚,726,141453,125531,2145
缅甸,200,141304,127229,3168
尼日利亚,1624,139242,112557,1647
巴拉圭,867,137603,113366,2807
阿曼,0,135041,127266,1532
委内瑞拉,456,129643,121569,1228
波黑,606,123434,97128,4775
利比亚,0,122894,103312,1936
阿尔及利亚,248,108629,74330,2909
巴林,702,106713,100772,379
肯尼亚,156,101690,84302,1776
北马其顿,403,94599,83735,2916
吉尔吉斯斯坦,72,85071,81635,1426
阿尔巴尼亚,1089,84212,50875,1446
韩国,393,80896,70865,1471
乌兹别克斯坦,56,79098,77522,621
拉脱维亚,1044,71320,59399,1327
加纳,791,70046,63502,449
斯里兰卡,742,68576,62594,351
黑山,571,64739,56228,836
挪威,373,64653,57004,582
赞比亚,1000,61427,53410,839
新加坡,26,59675,59405,29
萨尔瓦多,212,56237,50431,1681
阿富汗,5,55335,48027,2410
卢森堡,182,51689,48421,592
爱沙尼亚,587,47512,37648,456
